id,log2FoldChange,padj,KEGG_Module,COG,exp
SMc04125,-0.6479072212549459,0.008779217923839506,M00221,S,0
SMc04124,-0.11534489326794395,0.7016530938019246,NA,F,0
SMc04123,-0.2554656473254732,0.3548284904237559,NA,F,0
SMc04122,-0.431461918468883,0.04738959187295559,NA,F,0
SMc04121,0.004109315781120271,0.991818005259778,NA,F,0
SMc04120,-0.17047197285446478,0.5639889904811572,NA,F,0
SMc04119,0.02156884892608524,0.9590475163450792,NA,G,0
SMc04118,-0.1909117580796996,0.5088470966128886,NA,U,0
SMc04117,-0.2642188713264933,0.32726123085429115,NA,U,0
SMc04115,-0.20983132297403345,0.4889353241751763,NA,U,0
SMc04114,0.4191434130949028,0.0494763046161161,NA,U,0
SMc04113,0.2702123489617099,0.3762782256443953,NA,OU,0
SMc04112,0.40499522127980897,0.10833222755840463,NA,U,0
SMc04111,0.6117607621776425,0.023571369962708626,NA,U,0
SMc04110,0.6947945442433109,0.01710654228771503,NA,N,0
SMc04109,0.2874949029783976,0.32561970558419184,NA,U,0
SMc02820,0.4531378452871419,0.05199972906514713,NA,U,0
SMc02821,0.07666757777913355,0.8367786622026641,NA,U,0
SMc02822,-0.06587490091223752,0.8647447070101982,NA,NU,0
SMc02824,-0.21580676023443648,0.4654535706531463,NA,U,0
SMc02825,0.3383276464963698,0.021568601343175026,NA,E,0
SMc02826,-0.12476860790625754,0.7423819259166615,NA,K,0
SMc02827,-0.09139138380532548,0.7560935644384018,NA,M,0
SMc02828,-0.2180413041371944,0.2480655700597865,NA,EH,0
SMc02829,-0.06069696608456436,0.748426777387141,M00239,P,0
SMc02830,-0.22495922353344547,0.3148527181232047,M00239,P,0
SMc02831,0.034110733617584814,0.8968126891801097,M00239,P,0
SMc02832,-0.06613205040698797,0.8016186596459777,M00239,E,0
SMc02833,-0.5369401849216856,0.008722158734420246,NA,M,0
SMc02834,0.00962812693072679,NA,NA,G,0
SMc02835,-0.3529244069224253,0.11167315723646992,M00001,F,0
SMc02836,0.14048030917034934,0.5591447707424834,NA,V,0
SMc02837,-0.448166180904394,0.09877167257819662,M00016,E,0
SMc02838,0.2792722392388265,0.1580294080742097,M00001,G,0
SMc02937,0.15636797651545395,NA,NA,L,0
SMc02839,0.20436611713801608,0.393013551553746,NA,L,0
SMc02840,-0.23092856221065106,0.5385401161907426,NA,L,0
SMc02841,-0.4784727662102095,0.01834231775701762,NA,KL,0
SMc02842,-0.5963621045644978,0.006844468246894237,NA,S,0
SMc02843,0.12176547352210587,0.7542762779149182,NA,L,0
SMc02844,0.2519120421302762,0.4535314353607113,NA,K,0
SMc02845,0.6686028855465241,0.0462772289036746,NA,E,0
SMc02846,-0.12032078800950367,0.6275750653837164,NA,G,0
SMc02847,0.3353730581805713,0.2568100060056207,NA,S,0
SMc02848,-0.1544328279329687,0.5790994594955716,M00651,S,0
SMc02849,0.02562348991191607,0.9403251754916871,NA,CH,0
SMc02850,0.07696470490211774,0.6280426561166854,NA,L,0
SMc02851,-0.1208862001453507,0.7236835638065865,NA,K,0
SMc02852,-0.15607568331747346,0.4084120459834715,NA,E,0
SMc02853,-0.1915420615869571,0.5589712811147245,M00726,S,0
SMc02854,-1.1642724220364642,0.00011065858230590923,NA,NA,2
SMc02855,0.19994593458230409,0.5451700903216606,NA,EG,0
SMc02856,-0.26133670601189146,0.2481828391683589,NA,M,0
SMc02857,1.1600247137780946,5.698029892874219e-07,NA,O,1
SMc02858,0.5308763856959862,0.003617978181266222,NA,O,0
SMc02859,-0.1706561506401463,0.6276002547933648,NA,S,0
SMc02860,0.06714887206881243,0.8368204854809476,NA,S,0
SMc02861,-0.09695296891747512,0.8088342395815631,NA,P,0
SMc02862,0.006856570167888965,0.9875296429663218,NA,P,0
SMc02863,0.7130915440934621,0.009170664413802038,NA,L,0
SMc02864,-0.08309632060561435,0.8363068527810401,NA,H,0
SMc02865,0.4208125660024625,0.21884440063002653,NA,K,0
SMc02866,0.5332350294809686,0.02988642856665036,M00647,K,0
SMc02867,0.6373809586680934,3.88466543554454e-05,M00647,V,0
SMc02868,1.4495489247485789,6.784036628604146e-08,M00646,M,1
SMc02869,-0.5709184050420271,0.000514830975101597,M00194,P,0
SMc02870,-0.3694595794654069,0.018330831748112567,NA,S,0
SMc02871,-0.33946259446900323,0.11109758332369234,M00196,G,0
SMc02872,-0.5820598743104612,0.007765086145108697,M00196,G,0
SMc02873,-0.4150719378312875,0.008848962338209134,M00196,G,0
SMc02874,-0.02016869473572031,0.9551217487254904,NA,S,0
SMc02875,-0.0823463252395081,0.7960775755242474,NA,G,0
SMc02876,-0.2219396415997723,0.3662244535642297,NA,K,0
SMc02877,-0.7204491395539467,6.601577386259473e-05,NA,M,0
SMc02878,-0.8018217834522605,4.813573053849113e-05,NA,G,0
SMc02879,-0.6800722310332702,0.012928254214418398,NA,P,0
SMc02880,-0.1879423432027828,0.5790994594955716,NA,GK,0
SMc02881,0.1455654254891969,0.5682103284009039,NA,J,0
SMc02882,0.8198806176074095,0.0013600413131718005,NA,E,0
SMc02883,0.4809728584606524,0.17029523416941508,NA,S,0
SMc02884,-0.3437041824646998,0.006964141496294608,NA,S,0
SMc02885,0.3641343029705985,0.17480242220064024,NA,O,0
SMc02886,0.7060696777338313,0.002673671782230788,NA,NA,0
SMc02887,0.4369729127985202,0.16366661964828275,NA,K,0
SMc05001,0.2649809322567822,0.3412968438291913,NA,S,0
SMc02888,0.09655446856741104,0.5933190204560932,NA,K,0
SMc02889,0.18744459894482668,0.6241936243115237,NA,EGP,0
